drug,condition,side,age0to2,age13to18,age19to24,age25to34,age35to44,age45to54,age55to64,age65to74,age75,female,male,star1,star2,star3,star4,star5,mean,count,condition_raw,id,tl1,tl2,tl3,t10,t11,t12,t13,t14,t15,w10,w11,w12,w13,w14,w15,t20,t21,t22,t23,t24,t25,w20,w21,w22,w23,w24,w25,t30,t31,t32,t33,t34,t35,w30,w31,w32,w33,w34,w35
lisinopril,High Blood Pressure,"Dizziness ,  lightheadedness , tiredness, or  headache  may occur as your body adjusts to the  medication . Dry  cough  may also occur.",2,6,55,363,1095,2258,2432,1557,661,5028,3401,1324,824,1836,2219,2226,3.379523075,9059,"High Blood Pressure, Chronic Heart Failure, Kidney Problem caused by Body Tissue Disease-Scleroderma, Kidney Disease from Diabetes, Prevention of Recurrent Atrial Fibrillation, Diastolic Heart Failure, Heart Attack, Failure of the Left Ventricle of the Heart, Other",1,medication,cough,blood,cough,drug,day,effect,medication,side,0.076,0.058,0.052,0.05,0.042,0.038,blood,pressure,pain,pill,leg,hour,0.132,0.13,0.043,0.033,0.025,0.02,chest,heart,foot,mouth,kidney,hand,0.054,0.047,0.034,0.02,0.019,0.016
oxycodone,Pain,"Nausea ,  vomiting ,  upset stomach ,  constipation ,  dizziness , drowsiness,  headache , increased  sweating ,  dry mouth ,  lightheadedness , or  weakness  may occur.",0,42,359,1057,1598,2299,1821,524,171,4141,3730,447,448,1603,2356,3017,3.895438953,8581,"Chronic Pain with Narcotic Drug Tolerance, Pain, Acute Pain Following an Operation, Neuropathic Pain, Other",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prednisone,Other,"Nausea ,  vomiting , loss of appetite,  heartburn ,  trouble sleeping , increased  sweating , or  acne  may occur.",12,136,372,839,989,1633,1608,1159,480,5141,2087,689,525,1233,1740,3041,3.818898727,7773,"Bell's Palsy Paralysis of One Side of the Face, Rheumatic Disease causing Pain & Stiffness in Backbone, Asthma, Sarcoidosis, Low Platelet Count and Bleeding from Immune Response, Giant Hives, Multiple Sclerosis, Crohn's Disease, Joint Disease which may include Attacks of Acute Arthritis, Cluster Headache Prevention, Inflammation of the Joints due to Gout, Obstructive Pulmonary Disease, Destruction of Red Blood Cells by Body's Own Antibodies, Inflammation of the Artery in the Temple Area, Muscle or Bone Disorder, Myasthenia Gravis, Skin Rash with Sloughing, Rheumatoid Arthritis, Contact Dermatitis, Lung Fibrosis, Disease in which Body has Immune Response Against Itself, Inflammation of Lung from Inhaling Something Irritating, Inflammation of the Artery in the Temple Area, Muscle Pain and Stiffness in Shoulder, Neck and Pelvis, Inflammation of Skin and Muscles All Over the Body, Muscle Pain and Stiffness in Shoulder, Neck and Pelvis, Pneumonia with High Amount of Eosinophil White Blood Cells, Prevention of Lung Transplant Rejection, Group of Skin Disorders that Resemble Blisters, Ulcerated Colon, Diffuse Proliferative Lupus Nephritis-A Kidney Disease, Sjogren's Syndrome; Causes Dry Eyes & Mouth And Arthritis, Bronchiolitis Obliterans with Organizing Pneumonia, Atopic Dermatitis, Inflammatory Bowel Disease, Cancer of the Prostate Gland, Other",3,pain,drug,side,drug,pain,problem,life,muscle,stomach,0.107,0.096,0.043,0.025,0.024,0.021,weight,gain,year,blood,sugar,infection,0.081,0.04,0.04,0.039,0.02,0.019,day,prednisone,effect,side,time,week,0.091,0.063,0.062,0.048,0.04,0.03
tramadol,Pain,"Nausea ,  vomiting ,  constipation ,  lightheadedness ,  dizziness , drowsiness, or  sweating  may occur.",1,27,303,793,928,1430,1251,616,228,3816,1761,1058,602,1092,1404,1421,3.273982428,6030,"Disorder characterized by Stiff, Tender & Painful Muscles, Pain, Neuropathic Pain, Chronic Pain, Other",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gabapentin,Pain,"Drowsiness,  dizziness , loss of coordination, or  blurred vision  may occur.",0,9,69,329,597,1368,1449,916,316,3418,1635,931,637,1021,1149,1315,3.253314862,5497,"Neuropathic Pain, Extreme Discomfort in Calves when Sitting or Lying Down, Nerve Pain after Herpes, Acute Pain Following an Operation, Habit of Drinking Too Much Alcohol, Essential Tremor, Habit of Drinking Too Much Alcohol, ""Change of Life"" Signs, Pain Originating From a Nerve, Other",5,pain,medication,drug,work,shingle,arm,finger,experience,injury,0.069,0.033,0.033,0.017,0.017,0.014,medication,effect,side,doctor,anxiety,dosage,0.091,0.089,0.074,0.028,0.025,0.022,pain,day,drug,time,leg,night,0.145,0.058,0.044,0.036,0.031,0.03
metformin,Other,"Nausea ,  vomiting ,  stomach  upset,  diarrhea ,  weakness , or a  metallic taste  in the  mouth  may occur.",3,39,216,540,537,1019,1291,795,267,3095,1612,660,609,1253,1051,1134,3.295304865,5173,"Prevention of Type 2 Diabetes Mellitus, Type 2 Diabetes Mellitus, Disease of Ovaries with Cysts",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
topamax,Pain,"Tiredness, drowsiness,  dizziness , loss of coordination, tingling of the hands/feet, loss of appetite, bad taste in your  mouth ,  diarrhea , and  weight loss  may occur.",4,108,390,898,1014,1024,448,86,16,3644,344,612,262,580,1022,1512,3.641925777,4296,"Migraine Prevention, Simple Partial Seizures, Essential Tremor, Involuntary Quivering, Tonic-Clonic Epilepsy, Binge Eating Disorder, Convulsive Seizures, Additional Medication to Treat Partial Seizures, Other",7,medication,drug,side,seizure,medicine,night,control,miracle,reason,0.049,0.029,0.028,0.02,0.014,0.014,effect,side,drug,loss,weight,memory,0.08,0.062,0.06,0.059,0.057,0.032,migraine,day,medication,year,month,time,0.069,0.056,0.056,0.052,0.051,0.045
neurontin,Pain,"Drowsiness,  dizziness , loss of coordination, tiredness, blurred/ double vision , unusual  eye  movements, or shaking (tremor) may occur.",0,14,84,370,674,1198,1006,494,124,2944,1020,694,388,744,958,1180,3.389001009,4156,"Neuropathic Pain, Pain Originating From a Nerve, Epileptic Seizure, Pain Originating From a Nerve, Extreme Discomfort in Calves when Sitting or Lying Down, Acute Pain Following an Operation, Habit of Drinking Too Much Alcohol, Other",8,medication,pain,neurontin,day,time,night,sleep,med,dosage,0.122,0.076,0.055,0.034,0.027,0.025,pain,drug,medication,effect,leg,side,0.163,0.044,0.042,0.041,0.037,0.034,symptom,anxiety,depression,arm,condition,head,0.02,0.019,0.018,0.018,0.018,0.016
lexapro,Depression,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0,153,383,828,801,847,590,204,62,3060,808,439,261,567,1010,1591,3.789296794,4134,"Anxiousness associated with Depression, ""Change of Life"" Signs, Depression, Repeated Episodes of Anxiety, Bipolar Depression, Major Depressive Disorder, Obsessive Compulsive Disorder, Posttraumatic Stress Syndrome, Panic Disorder, Other",9,drug,side,anxiety,anxiety,depression,effect,lexapro,year,medication,0.061,0.051,0.05,0.049,0.047,0.04,anger,pain,menopause,personality,head,insurance,0.032,0.03,0.017,0.016,0.014,0.014,day,week,doctor,work,night,pill,0.073,0.058,0.042,0.026,0.02,0.018
hydrocodone,Pain,Nausea  commonly occurs with the use of  hydrocodone  and usually goes away after the first few doses.,1,33,184,535,708,972,826,414,148,2269,1552,295,353,894,1096,1183,3.659251505,4168,"Cough, Pain, Osteoporosis, Other",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
